key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,sampling_subgroup,matched_subgroups,core_it_delivery,digital_or_ai_adjacent,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,review_decision,incorrect_or_boundary_tags,review_notes
b3Nha2Evb3Nha2FfY2l0eS8yMDI1LzIwMjUxMTI2XzAwOTIxCg==,道路橋梁総合管理システムサービス提供業務委託,大阪府大阪市,27,大阪府,2025,2025-11-26T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000663/663833/00_koukokubun.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
Z292MTMvY2JyX21saXRfY2h1YnVfa293YW4vMjAyMi8yMDIyMDEzMV8wMDA3NAo=,令和4年度 防災情報システムホスティング環境提供業務,国土交通省中部地方整備局港湾空港部,23,愛知県,2022,2022-01-31T00:00:00+09:00,http://www.pa.cbr.mlit.go.jp/file/contract/result/buppin/220131_01koukoku.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
Z292NS9haXN0X3VuaXQvMjAyNS8yMDI1MTIxMF8wNzM5MQo=,Salesforce導入システムにおけるライセンスの提供,国立研究開発法人産業技術総合研究所,13,東京都,2025,2025-12-10T00:00:00+09:00,https://www.aist.go.jp/aist_j/procure/supplyinfo/pub/detail/5EEVF1UH,system_services,system_development|system_services,True,False,True,True,False,False,False,False,False,False,False,False,correct_IT,system_development,"IT-related, but 導入 modifies the existing system name/context; this is license provision rather than system development."
b3Nha2Evb3Nha2FfY2l0eS8yMDIzLzIwMjMwMTE5XzAwNTQ0Cg==,ごみ収集車両運行管理システムサービス提供業務委託【総合評価方式】,大阪府大阪市,27,大阪府,2023,2023-01-19T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000586/586983/04.koukokubunn.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
Z292NS9haXN0X3VuaXQvMjAyNC8yMDI0MTEyOF8wNzE5OAo=,SalesforceおよびBox導入システムにおけるライセンスの提供およびマルチベンダー開発支援業務 一式,国立研究開発法人産業技術総合研究所,13,東京都,2024,2024-11-28T00:00:00+09:00,https://www.aist.go.jp/aist_j/procure/supplyinfo/pub/detail/89KVKYSW,system_services,system_development|system_services,True,False,True,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQwNTI0XzAwNzM4Cg==,大阪市会事務局総合評価一般競争入札の実施について（大阪市会事務局における議員在席表示及び会議開催表示システムサービス提供業務委託 長期継続）,大阪府大阪市,27,大阪府,2024,2024-05-24T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000627/627643/01_siryou1.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
b3Nha2EvbWlub2hfY2l0eS8yMDIyLzIwMjIwNjE2XzAwMjgzCg==,箕面市教育ICTクラウド（いじめ未然防止システム）構築等業務委託及び箕面市教育ICTクラウド（いじめ未然防止システム）サービス提供等業務委託に係る総合評価落札方式による一般競争入札の実施について,大阪府箕面市,27,大阪府,2022,2022-06-16T00:00:00+09:00,https://www.city.minoh.lg.jp/jidoseito/system.html,system_services,system_development|system_services|cloud,True,False,True,True,False,False,True,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
Z292Ny9jYnJfbWxpdC8yMDIzLzIwMjMwMjA3XzA0NTU4Cg==,令和５年度 中部技術システムホスティング環境提供業務,国土交通省中部地方整備局,23,愛知県,2023,2023-02-07T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/230207-system-chugi.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
Z292NS9zYW5naWluX2dvLzIwMjMvMjAyMzEwMTFfMDA0OTMK,参議院インターネット審議中継システム外４Webシステム利用環境の提供及びその運用役務一式（一般）(PDF),参議院,13,東京都,2023,2023-10-11T00:00:00+09:00,https://www.sangiin.go.jp/japanese/annai/choutatu/21buppin-ekimu/pdf/231011.pdf,system_services,system_services|operations_maintenance,True,False,False,True,False,True,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQwNDEyXzAwNzI3Cg==,学校給食食物アレルギー対応システムサービス提供業務委託,大阪府大阪市,27,大阪府,2024,2024-04-12T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000624/624910/01nyusatusetumeisho.pdf,system_services,system_services,True,False,False,True,False,False,False,False,False,False,False,False,correct_IT,,"Title clearly indicates IT, software, data, cloud, cybersecurity, network, or AI-related work within the taxonomy scope."
