key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,review_decision,suggested_it_tag,review_notes
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDIzLzIwMjMxMDE5XzAwODE5Cg==,「令和５年度（2023年度）脱炭素型ビジネススタイル転換促進事業委託業務」総合評価一般競争入札の実施について,北海道,01,北海道,2023,2023-10-19T00:00:00+09:00,https://www.pref.hokkaido.lg.jp/kz/zcg/167919.html,,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMy8yMDIzMDQxMV8xMTA1OAo=,ボイラー洗缶整備役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2023,2023-04-11T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20230425-407A-0030.pdf,,,
Z292My9tb2RfZGloLzIwMjQvMjAyNDAxMjJfMDA4NzgK,【訂正公告】パーテーション設置役務,防衛省情報本部,13,東京都,2024,2024-01-22T00:00:00+09:00,https://www.mod.go.jp/dih/6.1.22-233.pdf,,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMy8yMDIzMDYyNl8wMDM4MAo=,門真市立北巣本小学校土地利用履歴調査業務委託,大阪府門真市,27,大阪府,2023,2023-06-26T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/81/keltukakouhyou.pdf,,,
Z292Ny9jYnJfbWxpdC8yMDIzLzIwMjMwNDA0XzA0NzM4Cg==,令和５年度 木曽川ダム統管雨量観測所局舎更新,国土交通省中部地方整備局,23,愛知県,2023,2023-04-04T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r5/230404-uryou-kisodamu.pdf,,,
dG9reW8vdGl0ZWNoX2FjLzIwMjUvMjAyNTA3MThfMDA2OTUK,教育用電子計算機システム移設等作業 1式,国立大学法人東京工業大学,13,東京都,2025,2025-07-18T00:00:00+09:00,http://www.zaimu.titech.ac.jp/keiyaku/kanren/koukoku/wpsys/wp-content/uploads/%E6%95%99%E8%82%B2%E7%94%A8%E9%9B%BB%E5%AD%90%E8%A8%88%E7%AE%97%E6%A9%9F%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E7%A7%BB%E8%A8%AD%E7%AD%89%E4%BD%9C%E6%A5%AD-1%E5%BC%8F_R7.7.18-R7.8.8.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjQvMDEvMjAyNDAxMTlfMTUwMzIK,門司港湾合同庁舎ほか４庁舎清掃業務委託,財務省,40,福岡県,2024,2024-01-19T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
Z292Mi9pbW1pX21vai8yMDIyLzIwMjIxMjEyXzAxNjExCg==,東京出入国在留管理局庁舎警備業務委託契約（PDF：75KB）,出入国在留管理庁東京出入国在留管理局,13,東京都,2022,2022-12-12T00:00:00+09:00,https://www.moj.go.jp/isa/content/001385049.pdf,,,
aG9ra2FpZG8vZW5pd2FfY2l0eS8yMDI1LzIwMjUwNDI1XzAwNDc5Cg==,恵庭市公共下水道事業 中島地区測量委託業務（4月25日告示 4月25日～5月13日）（令和7年4月25日） (PDFファイル: 123.8KB),北海道恵庭市,01,北海道,2025,2025-04-25T00:00:00+09:00,https://www.city.eniwa.hokkaido.jp/material/files/group/8/070425-k4.pdf,,,
Z292MTAvbmVkb19nby8yMDI1LzIwMjUwNjA1XzAwMDQyCg==,2025年分年末調整支援業務,国立研究開発法人新エネルギー・産業技術総合開発機構,14,神奈川県,2025,2025-06-05T00:00:00+09:00,https://www.nedo.go.jp/content/800026315.pdf,,,
