key,project_name,organization_name,lg_code,prefecture_name,city_code,city_name,cft_issue_date,cft_issue_year,category,procedure_type,external_document_uri,taxonomy_version,it_related,core_it_delivery,digital_or_ai_adjacent,matched_subgroups,subgroup_count,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,result_id,date,file_type,file_size,certification,period_end_time,location,tender_submission_deadline,opening_tenders_event,item_code,attachment_count,attachments_json
aG9ra2FpZG8vaGtkX21saXRfZ29fcnVtb2kvMjAyMi8yMDIyMDExMl8wMDMxMQo=,4．留萌開発建設部管内 情報通信システム装置保守点検,国土交通省北海道開発局留萌開発建設部,01,北海道,012122,留萌市,2022-01-12T00:00:00+09:00,2022,役務,,https://www.hkd.mlit.go.jp/rm/keiyaku/f6h4sv0000000i3g-att/s2j3ut0000001r4g.pdf,1.1.0-candidate2,True,True,False,system_development|operations_maintenance,2,True,False,False,True,False,False,False,False,False,False,False,23,2022-01-17T19:38:01+09:00,pdf,118290.0,A B C D,,,,,,0,[]
aG9ra2FpZG8vaGtkX21saXRfZ29fcnVtb2kvMjAyMi8yMDIyMDExMl8wMDMyMwo=,1．留萌開発建設部管内 情報通信システム装置保守点検,国土交通省北海道開発局留萌開発建設部,01,北海道,012122,留萌市,2022-01-12T00:00:00+09:00,2022,役務,,https://www.hkd.mlit.go.jp/rm/keiyaku/f6h4sv0000000i3g-att/s2j3ut0000001y34.pdf,1.1.0-candidate2,True,True,False,system_development|operations_maintenance,2,True,False,False,True,False,False,False,False,False,False,False,21,2022-02-09T19:22:58+09:00,pdf,118290.0,A B C D,,,,,,0,[]
Z292MTMvY2JyX21saXRfY2h1YnVfa293YW4vMjAyMi8yMDIyMDExM18wMDA2OQo=,令和４年度 港湾情報処理システム運用管理業務,国土交通省中部地方整備局港湾空港部,23,愛知県,231002,名古屋市,2022-01-13T00:00:00+09:00,2022,役務,,http://www.pa.cbr.mlit.go.jp/file/contract/result/buppin/220113_01koukoku-1.pdf,1.1.0-candidate2,True,True,False,operations_maintenance,1,False,False,False,True,False,False,False,False,False,False,False,103,2022-01-13T19:05:04+09:00,pdf,103375.0,,,,,,,0,[]
a2FuYWdhd2Eva3VyaWhhbWFfaXJ5b19jZW50ZXIvMjAyMi8yMDIyMDExM18wMDExOAo=,入札公告 アルコール依存症専門医療機関における治療予後調査 EDC/ePRO（患者報告アウトカム電子システム）構築作業委託業務 一式,独立行政法人国立病院機構久里浜医療センター,14,神奈川県,142018,横須賀市,2022-01-13T00:00:00+09:00,2022,役務,,https://kurihama.hosp.go.jp/about/pdf/bid-2022-01-13_02.pdf,1.1.0-candidate2,True,True,False,system_development,1,True,False,False,False,False,False,False,False,False,False,False,35,2022-01-18T19:10:07+09:00,pdf,253856.0,,,,,,,0,[]
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMi8yMDIyMDExOF8wNzMyMgo=,多面的観賞システム導入・設置役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,131041,新宿区,2022-01-18T00:00:00+09:00,2022,役務,,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/koukoku/20220201-GYOU-0360.pdf,1.1.0-candidate2,True,True,False,system_development,1,True,False,False,False,False,False,False,False,False,False,False,63,2022-01-18T19:22:08+09:00,pdf,212722.0,,,,,,,0,[]
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMi8yMDIyMDExOF8wNzMyMwo=,デジタル年表システム導入・設置役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,131041,新宿区,2022-01-18T00:00:00+09:00,2022,役務,,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/koukoku/20220201-GYOU-0370.pdf,1.1.0-candidate2,True,True,False,system_development,1,True,False,False,False,False,False,False,False,False,False,False,62,2022-01-18T19:22:08+09:00,pdf,211984.0,,,,,,,0,[]
Z292NS9tYWZmX2pmYS8yMDIyLzIwMjIwMTE4XzAwMTM3Cg==,船舶航跡システム（VMAC）に係る船舶用端末等の設置及び保守・運用業務(PDF : 103KB),水産庁,13,東京都,131016,千代田区,2022-01-18T00:00:00+09:00,2022,役務,,https://www.jfa.maff.go.jp/j/gyosei/supply/nyusatu/attach/pdf/ekimu_sonota-5.pdf,1.1.0-candidate2,True,True,False,operations_maintenance,1,False,False,False,True,False,False,False,False,False,False,False,57,2022-05-16T19:43:57+09:00,pdf,105203.0,A B C,,,,,,1,"[{""name"":""仕様書(PDF : 3,679KB)"",""uri"":""https://www.jfa.maff.go.jp/j/gyosei/supply/nyusatu/attach/pdf/ekimu_sonota-4.pdf""}]"
b3Nha2Evb3Nha2FtaW5hbWlfaXJ5b19jZW50ZXIvMjAyMi8yMDIyMDExOF8wMDAzMwo=,関節リウマチデータ分析業務委託 一式［PDF形式 139KB］,独立行政法人国立病院機構大阪南医療センター,27,大阪府,272167,河内長野市,2022-01-18T00:00:00+09:00,2022,役務,,https://osakaminami.hosp.go.jp/files/000167887.pdf,1.1.0-candidate2,True,False,True,data_digital,1,False,False,False,False,False,False,False,False,True,False,False,14,2022-01-18T19:07:11+09:00,pdf,142178.0,,,,,,,0,[]
ZnVrdW9rYS9wb2xpY2VfZnVrdW9rYS8yMDIyLzIwMjIwMTE5XzAwOTI5Cg==,交通規制集データ化業務委託に係る入札について,国家公安委員会（警察庁）福岡県警察,40,福岡県,401307,福岡市,2022-01-19T00:00:00+09:00,2022,役務,,https://www.police.pref.fukuoka.jp/data/open/cnt/3/13384/1/20220119kiseisyuukoukoku.pdf,1.1.0-candidate2,True,False,True,data_digital,1,False,False,False,False,False,False,False,False,True,False,False,14,2022-01-19T19:10:50+09:00,pdf,174457.0,,,,,,,1,"[{""name"":""・交通規制集データ化業務委託に係る入札説明書 （3,497kbyte）"",""uri"":""https://www.police.pref.fukuoka.jp/data/open/cnt/3/13384/1/20220119kiseisyuusetumeisyo.pdf""}]"
Z292NS9yb2Z1a3UvMjAyMi8yMDIyMDEyMF8wMTQ3Mgo=,令和４年度労災疾病等医学研究・開発、普 及ネットワークシステム等管理及びコンサル ティングに関する業務委託一式（本部）,独立行政法人労働者健康安全機構,14,神奈川県,141305,川崎市,2022-01-20T00:00:00+09:00,2022,役務,,https://www.johas.go.jp/Portals/0/data0/jigyogaiyo/choutatsu/nyusatsu/0401/nyuusatsu040120(1).pdf,1.1.0-candidate2,True,True,False,network_infrastructure,1,False,False,False,False,False,False,True,False,False,False,False,17,2022-01-20T00:00:00+09:00,pdf,153708.0,,,,,,,0,[]
Z292MTMvY2JyX21saXRfY2h1YnVfa293YW4vMjAyMi8yMDIyMDEyMV8wMDA3MQo=,令和4年度 中部地方整備局港湾WANシステムサーバ等機器保守業務,国土交通省中部地方整備局港湾空港部,23,愛知県,231002,名古屋市,2022-01-21T00:00:00+09:00,2022,役務,,http://www.pa.cbr.mlit.go.jp/file/contract/result/buppin/220121_01koukkoku.pdf,1.1.0-candidate2,True,True,False,operations_maintenance|network_infrastructure,2,False,False,False,True,False,False,True,False,False,False,False,45,2022-01-21T19:05:07+09:00,pdf,129096.0,,,,,,,0,[]
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMi8yMDIyMDEyMV8wNzM2OQo=,変更公告 多面的観賞システム導入・設置役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,131041,新宿区,2022-01-21T00:00:00+09:00,2022,役務,,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/koukoku/20220201-GYOU-0361.pdf,1.1.0-candidate2,True,True,False,system_development,1,True,False,False,False,False,False,False,False,False,False,False,45,2022-01-21T19:20:56+09:00,pdf,71578.0,,,,,,,0,[]
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTIxXzAzOTA3Cg==,令和４年度 単価契約ホームページ等更新業務,国土交通省中部地方整備局,23,愛知県,231002,名古屋市,2022-01-21T00:00:00+09:00,2022,役務,,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220121-hp-kyoku.pdf,1.1.0-candidate2,True,True,False,software_applications,1,False,False,True,False,False,False,False,False,False,False,False,44,2022-01-21T19:05:08+09:00,pdf,224474.0,C,,,,,,0,[]
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTI0XzAzOTE0Cg==,令和４年度 電子入札システム運用監理業務,国土交通省中部地方整備局,23,愛知県,231002,名古屋市,2022-01-24T00:00:00+09:00,2022,役務,,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220124-nyusatu-kyoku.pdf,1.1.0-candidate2,True,True,False,operations_maintenance,1,False,False,False,True,False,False,False,False,False,False,False,29,2022-01-24T19:05:08+09:00,pdf,182794.0,A B,,,,,,0,[]
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTI0XzAzOTEyCg==,令和４年度 防災情報システムサーバー賃貸借,国土交通省中部地方整備局,23,愛知県,231002,名古屋市,2022-01-24T00:00:00+09:00,2022,役務,,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220124-bousai-kyoku.pdf,1.1.0-candidate2,True,True,False,network_infrastructure,1,False,False,False,False,False,False,True,False,False,False,False,31,2022-01-24T19:05:07+09:00,pdf,180921.0,A B C D,,,,,,0,[]
