key,project_name,organization_name,prefecture_name,cft_issue_date,external_document_uri,system_development,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,data_digital,artificial_intelligence,system_services,end_user_computing,it_related,core_it_delivery,digital_or_ai_adjacent
Z292OS9qc3BzLzIwMjYvMjAyNjA2MjZfMDAyNjEK,Web会議用ライセンス 一式（PDF/158KB）,独立行政法人日本学術振興会,東京都,2026-06-26T00:00:00+09:00,https://www.jsps.go.jp/file/storage/j-choutatsu/procurement/R7-47_nyusatukoukoku.pdf,False,True,False,False,False,False,False,False,False,False,True,True,False
dG9reW8vbXVzYXNoaW5vX2NpdHkvMjAyNi8yMDI2MDQxNF8wMDAwMwo=,FAQ・RAG検索システム提供役務 公募型プロポーザル,東京都武蔵野市,東京都,2026-04-14T00:00:00+09:00,https://www.city.musashino.lg.jp/_res/projects/default_project/_page_/001/053/068/1jissiyouryou.pdf,False,False,False,False,False,False,False,True,True,False,True,True,False
dG9reW8vbmNjaGQvMjAyNi8yMDI2MDExM18wMDQ3MQo=,PCキッティング業務委託契約,国立研究開発法人国立成育医療研究センター,東京都,2026-01-13T00:00:00+09:00,https://www.ncchd.go.jp/purchase/4cde0d26a594a025badbea43613892db.pdf,False,False,False,False,False,False,False,False,False,True,True,True,False
b3Nha2Evb3Nha2FfY2l0eS8yMDI1LzIwMjUxMTI2XzAwOTIxCg==,道路橋梁総合管理システムサービス提供業務委託,大阪府大阪市,大阪府,2025-11-26T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000663/663833/00_koukokubun.pdf,False,False,False,False,False,False,False,False,True,False,True,True,False
b3Nha2Evb3Nha2FfY2l0eS8yMDI1LzIwMjUwMjEyXzAwODI2Cg==,設計図書情報提供システムサービス提供業務委託,大阪府大阪市,大阪府,2025-02-12T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000645/645525/01_nyusatsusetumeisyo.pdf,False,False,False,False,False,False,False,False,True,False,True,True,False
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQxMTE5XzAwNzgwCg==,下水道総合情報システムサービス提供業務委託,大阪府大阪市,大阪府,2024-11-19T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000638/638264/00-1_koukokubun.pdf,False,False,False,False,False,False,False,False,True,False,True,True,False
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQwNTI0XzAwNzM4Cg==,大阪市会事務局総合評価一般競争入札の実施について（大阪市会事務局における議員在席表示及び会議開催表示システムサービス提供業務委託 長期継続）,大阪府大阪市,大阪府,2024-05-24T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000627/627643/01_siryou1.pdf,False,False,False,False,False,False,False,False,True,False,True,True,False
Z292Ny9jYnJfbWxpdC8yMDI2LzIwMjYwMjEwXzA1MTk0Cg==,令和８年度 中部技術システムホスティング環境提供業務,国土交通省中部地方整備局,愛知県,2026-02-10T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/data/pdf/oESp10y8dT20260206_33.pdf,False,False,False,False,False,False,False,False,True,False,True,True,False
ZnVrdW9rYS9wb2xpY2VfZnVrdW9rYS8yMDI2LzIwMjYwMjA5XzAxNTk4Cg==,交通規制集データ化業務委託に係る入札について,国家公安委員会（警察庁）福岡県警察,福岡県,2026-02-09T00:00:00+09:00,https://www.police.pref.fukuoka.jp/data/open/cnt/3/22421/1/120260123detaka.pdf,False,False,False,False,False,False,True,False,False,False,True,False,True
ZnVrdW9rYS9wb2xpY2VfZnVrdW9rYS8yMDI1LzIwMjUwMTMwXzAxNDI2Cg==,交通規制集データ化業務委託に係る入札について,国家公安委員会（警察庁）福岡県警察,福岡県,2025-01-30T00:00:00+09:00,https://www.police.pref.fukuoka.jp/data/open/cnt/3/19950/1/koukokukoutuukiseisyuudetakagyoumuitaku2025.pdf,False,False,False,False,False,False,True,False,False,False,True,False,True
ZnVrdW9rYS9wb2xpY2VfZnVrdW9rYS8yMDI0LzIwMjQwMTI5XzAxMjg1Cg==,交通規制集データ化業務委託契約に係る入札について,国家公安委員会（警察庁）福岡県警察,福岡県,2024-01-29T00:00:00+09:00,https://www.police.pref.fukuoka.jp/data/open/cnt/3/17773/1/8koutudate-koukoku.pdf,False,False,False,False,False,False,True,False,False,False,True,False,True
