prefecture_name,organization_name,cft_issue_year,it_notices,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,prefecture_label,previous_it_notices,it_absolute_annual_change,it_yoy_percent,growth_status,system_development_annual_change,system_services_annual_change,software_applications_annual_change,operations_maintenance_annual_change,cloud_annual_change,cybersecurity_annual_change,network_infrastructure_annual_change,end_user_computing_annual_change,data_digital_annual_change,artificial_intelligence_annual_change,it_consulting_planning_annual_change,leading_growth_subgroups,leading_subgroup_increase
北海道,北海道,2022,1,1,0,0,0,0,0,0,0,0,0,0,Hokkaido,,,,continuing,,,,,,,,,,,,,
北海道,北海道,2023,7,5,0,0,2,0,0,0,0,0,0,0,Hokkaido,1.0,6.0,600.0,continuing,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,System development,4.0
北海道,北海道,2024,3,1,0,0,2,0,0,0,0,0,0,0,Hokkaido,7.0,-4.0,-57.14285714285714,continuing,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道,2025,13,8,0,1,2,0,0,0,0,2,0,0,Hokkaido,3.0,10.0,333.3333333333333,continuing,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,System development,7.0
北海道,北海道伊達市,2022,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,,,,no_notices,,,,,,,,,,,,,
北海道,北海道伊達市,2023,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道伊達市,2024,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道伊達市,2025,2,0,0,0,0,1,1,0,0,0,0,0,Hokkaido,0.0,2.0,,new_or_returning,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Cloud | Cybersecurity,1.0
北海道,北海道夕張市,2022,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,,,,no_notices,,,,,,,,,,,,,
北海道,北海道夕張市,2023,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道夕張市,2024,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道夕張市,2025,2,2,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,2.0,,new_or_returning,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,System development,2.0
北海道,北海道東神楽町,2022,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,,,,no_notices,,,,,,,,,,,,,
北海道,北海道東神楽町,2023,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道東神楽町,2024,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,0.0,,no_notices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
北海道,北海道東神楽町,2025,1,1,0,0,0,0,0,0,0,0,1,0,Hokkaido,0.0,1.0,,new_or_returning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,System development | Artificial intelligence,1.0
北海道,北海道深川市,2022,0,0,0,0,0,0,0,0,0,0,0,0,Hokkaido,,,,no_notices,,,,,,,,,,,,,
北海道,北海道深川市,2023,1,1,0,0,0,0,0,0,0,0,0,0,Hokkaido,0.0,1.0,,new_or_returning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,System development,1.0
