prefecture_name,cft_issue_year,organization_name,it_notices,core_it_notices,adjacent_only_notices,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,prefecture_year_it_notices,organization_share_percent,rank,prefecture_label,leading_subgroups,leading_subgroup_count
北海道,2022,国土交通省北海道開発局留萌開発建設部,6,6,0,2,0,0,4,0,0,2,0,0,0,0,8,75.0,1,Hokkaido,Operations and maintenance,4
北海道,2022,北海道,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8,12.5,2,Hokkaido,System development,1
北海道,2022,独立行政法人国立病院機構帯広病院,1,1,0,0,0,0,1,0,0,0,0,0,0,0,8,12.5,2,Hokkaido,Operations and maintenance,1
大阪府,2022,大阪府大阪市,7,7,0,2,1,0,2,2,0,0,0,2,0,2,19,36.84210526315789,1,Osaka,System development | Operations and maintenance | Cloud | Data and digital | IT consulting and planning,2
大阪府,2022,大阪府箕面市,6,6,0,2,1,1,2,1,1,2,0,0,1,0,19,31.57894736842105,2,Osaka,System development | Operations and maintenance | Network infrastructure,2
大阪府,2022,大阪府門真市,2,2,0,0,0,0,0,0,0,2,0,0,0,0,19,10.526315789473683,3,Osaka,Network infrastructure,2
大阪府,2022,独立行政法人国立病院機構近畿中央呼吸器センター,2,2,0,0,0,0,2,0,0,0,0,0,0,0,19,10.526315789473683,3,Osaka,Operations and maintenance,2
大阪府,2022,独立行政法人国立病院機構大阪刀根山医療センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,5.263157894736842,5,Osaka,Operations and maintenance,1
大阪府,2022,独立行政法人国立病院機構大阪南医療センター,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19,5.263157894736842,5,Osaka,Data and digital,1
愛知県,2022,国土交通省中部地方整備局,17,17,0,9,1,2,1,1,0,3,0,0,1,0,27,62.96296296296296,1,Aichi,System development,9
愛知県,2022,国土交通省中部地方整備局港湾空港部,5,5,0,0,1,0,4,0,0,2,0,0,0,0,27,18.51851851851852,2,Aichi,Operations and maintenance,4
愛知県,2022,国立研究開発法人国立長寿医療研究センター,3,3,0,0,0,0,3,0,0,0,0,0,0,0,27,11.11111111111111,3,Aichi,Operations and maintenance,3
愛知県,2022,厚生労働省愛知労働局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,27,3.7037037037037033,4,Aichi,Operations and maintenance | Network infrastructure,1
愛知県,2022,国土交通省中部運輸局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,27,3.7037037037037033,4,Aichi,Operations and maintenance | Network infrastructure,1
東京都,2022,防衛省自衛隊,10,10,0,2,0,1,3,1,2,0,0,0,0,3,39,25.64102564102564,1,Tokyo,Operations and maintenance | IT consulting and planning,3
東京都,2022,防衛省陸上自衛隊東部方面会計隊,10,6,4,4,0,0,1,0,0,1,0,4,0,0,39,25.64102564102564,1,Tokyo,System development | Data and digital,4
東京都,2022,防衛省防衛研究所,4,2,2,0,0,0,2,0,0,0,0,2,0,0,39,10.256410256410255,3,Tokyo,Operations and maintenance | Data and digital,2
東京都,2022,水産庁,3,3,0,0,0,1,3,0,0,0,0,0,0,0,39,7.6923076923076925,4,Tokyo,Operations and maintenance,3
東京都,2022,独立行政法人日本スポーツ振興センター,3,3,0,0,0,0,3,0,0,0,0,0,0,0,39,7.6923076923076925,4,Tokyo,Operations and maintenance,3
