year,lg_code,prefecture_ja,prefecture_en,annual_search_hits,completed_periods,period_search_hits,period_returned,failed_periods,split_periods,stored_notices,period_minus_annual,returned_minus_period,stored_minus_period,is_complete
2022,01,北海道,Hokkaido,237,12,237,237,0,0,237,0,0,0,True
2022,13,東京都,Tokyo,887,12,887,887,0,0,887,0,0,0,True
2022,14,神奈川県,Kanagawa,411,12,411,411,0,0,411,0,0,0,True
2022,23,愛知県,Aichi,567,12,567,567,0,0,567,0,0,0,True
2022,27,大阪府,Osaka,248,12,248,248,0,0,248,0,0,0,True
2022,40,福岡県,Fukuoka,147,12,147,147,0,0,147,0,0,0,True
2023,01,北海道,Hokkaido,795,12,795,795,0,0,795,0,0,0,True
2023,13,東京都,Tokyo,1319,12,1319,1319,0,0,1319,0,0,0,True
2023,14,神奈川県,Kanagawa,565,12,565,565,0,0,565,0,0,0,True
2023,23,愛知県,Aichi,601,12,601,601,0,0,601,0,0,0,True
2023,27,大阪府,Osaka,317,12,317,317,0,0,317,0,0,0,True
2023,40,福岡県,Fukuoka,239,12,239,239,0,0,239,0,0,0,True
2024,01,北海道,Hokkaido,1249,12,1249,1249,0,0,1249,0,0,0,True
2024,13,東京都,Tokyo,1827,12,1827,1827,0,0,1827,0,0,0,True
2024,14,神奈川県,Kanagawa,430,12,430,430,0,0,430,0,0,0,True
2024,23,愛知県,Aichi,291,12,291,291,0,0,291,0,0,0,True
2024,27,大阪府,Osaka,353,12,353,353,0,0,353,0,0,0,True
2024,40,福岡県,Fukuoka,308,12,308,308,0,0,308,0,0,0,True
2025,01,北海道,Hokkaido,1164,12,1164,1164,0,0,1164,0,0,0,True
2025,13,東京都,Tokyo,1729,12,1729,1729,0,0,1729,0,0,0,True
2025,14,神奈川県,Kanagawa,369,12,369,369,0,0,369,0,0,0,True
2025,23,愛知県,Aichi,369,12,369,369,0,0,369,0,0,0,True
2025,27,大阪府,Osaka,419,12,419,419,0,0,419,0,0,0,True
2025,40,福岡県,Fukuoka,389,12,389,389,0,0,389,0,0,0,True
