key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,old_taxonomy_version,old_it_related,old_core_it_delivery,old_digital_or_ai_adjacent,old_matched_subgroups,old_subgroup_count,new_taxonomy_version,new_it_related,new_core_it_delivery,new_digital_or_ai_adjacent,new_matched_subgroups,new_subgroup_count,change_types,review_decision,review_notes
Z292My9uaG9faG9uYnUvMjAyMi8yMDIyMDEyNV8wMDMwNgo=,医療材料費、医薬品費に係るベンチマークシステムの利用及び総合コンサルティング業務委託（PDF：174KB）,独立行政法人国立病院機構,13,東京都,2022,2022-01-25T00:00:00+09:00,https://nho.hosp.go.jp/files/000168184.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_services,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyMi8yMDIyMTEyOV8wMzk0Ngo=,人事・給与情報システム ヘルプデスク業務支援役務,防衛省自衛隊,13,東京都,2022,2022-11-29T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2022/1129b.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
a2FuYWdhd2EvaGFkYW5vX2NpdHkvMjAyMi8yMDIyMDQwNl8wMjIzMgo=,秦野市・伊勢原市共同消防指令センター（仮称）消防総合指令システム・消防救急デジタル無線整備調達支援及び監理委託業務（令和４年度債務負担行為設定）,神奈川県秦野市,14,神奈川県,2022,2022-04-06T00:00:00+09:00,https://www.city.hadano.kanagawa.jp/sekkeitosho/2_gaiyou/5042005.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,it_consulting_planning,1,newly_matched|subgroup_changed|high_level_changed,,
a2FuYWdhd2EvaGFkYW5vX2NpdHkvMjAyMi8yMDIyMDkyOF8wMjU4NAo=,令和４年度秦野市横野区有文書デジタルデータ作成委託業務,神奈川県秦野市,14,神奈川県,2022,2022-09-28T00:00:00+09:00,https://www.city.hadano.kanagawa.jp/sekkeitosho/2_gaiyou/5043139.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,False,True,data_digital,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTI4XzAzOTM1Cg==,令和４年度 オンライン電子納品システム改良業務,国土交通省中部地方整備局,23,愛知県,2022,2022-01-28T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220128-online-kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_development,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTI4XzAzOTM2Cg==,令和４年度 電子納品保管管理システム改良業務,国土交通省中部地方整備局,23,愛知県,2022,2022-01-28T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220128-denshi-kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_development,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMTIxXzAzOTA3Cg==,令和４年度 単価契約ホームページ等更新業務,国土交通省中部地方整備局,23,愛知県,2022,2022-01-21T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220121-hp-kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwNzExXzA0MjQ2Cg==,令和４年度 工事契約管理システム改良業務,国土交通省中部地方整備局,23,愛知県,2022,2022-07-11T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/220711-system-kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_development,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwODA0XzA0Mjc0Cg==,令和４年度 紀勢国道事務所ホームページ作成業務,国土交通省中部地方整備局,23,愛知県,2022,2022-08-04T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/220804-hp-kisei.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIxMDI1XzA0MzMyCg==,令和４年度 飯田国道ホームページ作成業務,国土交通省中部地方整備局,23,愛知県,2022,2022-10-25T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/221025-hp-iida.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIxMTA3XzA0MzM4Cg==,令和４年度 業者検索システム改良業務,国土交通省中部地方整備局,23,愛知県,2022,2022-11-07T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/221107_kensaku_kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_development,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMDYyN18wMDIwNgo=,門真市保健福祉センター診療所歯科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-06-27T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/0001sika.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMDYyN18wMDIwNwo=,門真市保健福祉センター診療所医科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-06-27T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/001ika.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMDcwNF8wMDIxMAo=,門真市保健福祉センター診療所歯科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-07-04T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/1sikarese.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMTAxMV8wMDI0OQo=,門真市保健福祉センター診療所医科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-10-11T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/411011.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMTAxMV8wMDI1MAo=,門真市保健福祉センター診療所歯科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-10-11T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/1011jissi.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMTAyNF8wMDI2MAo=,門真市保健福祉センター診療所歯科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-10-24T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/11024jisi.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyMi8yMDIyMTAyNF8wMDI2MQo=,門真市保健福祉センター診療所医科レセプトコンピューター一式借上業務委託,大阪府門真市,27,大阪府,2022,2022-10-24T00:00:00+09:00,https://www.city.kadoma.osaka.jp/material/files/group/23/11024ikajissi.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,end_user_computing,1,newly_matched|subgroup_changed|high_level_changed,,
ZnVrdW9rYS9reXVzaHVfaXJ5b19jZW50ZXIvMjAyMi8yMDIyMDMyMl8wMDQ1Mwo=,ホームページリニューアル業務委託,独立行政法人国立病院機構九州医療センター,40,福岡県,2022,2022-03-22T00:00:00+09:00,http://www.kyumed.jp/about/jimu/history.html?cate=3&id=1039&sess=2,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMy8yMDIzMDUxNl8xMTI5OQo=,商用衛星画像運用役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2023,2023-05-16T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20230530-338A-0620.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,False,True,data_digital,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9uaG9faG9uYnUvMjAyMy8yMDIzMDIwMl8wMDM3Nwo=,医療材料費、医薬品費に係るベンチマークシステムの利用及び総合コンサルティング業務委託（PDF：226KB）,独立行政法人国立病院機構,13,東京都,2023,2023-02-02T00:00:00+09:00,https://nho.hosp.go.jp/files/000188925.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_services,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyMy8yMDIzMDEyNl8wMzg4MQo=,【訂正公告】人事・給与情報システム ヘルプデスク業務支援役務,防衛省自衛隊,13,東京都,2023,2023-01-26T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2023/0126d.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyMy8yMDIzMDEzMF8wMzg3NAo=,防衛省ホームページ等の維持管理・運営等に係る支援役務,防衛省自衛隊,13,東京都,2023,2023-01-30T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2023/0130c.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyMy8yMDIzMTAyNF8wNDE2Mgo=,人事・給与情報システムヘルプデスク業務支援役務,防衛省自衛隊,13,東京都,2023,2023-10-24T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2023/1024a.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
c2VhcmNoL3BfcG9ydGFsLzIwMjMvMTAvMjAyMzEwMTNfMTAxMTIK,防衛省ＯＡシステム基盤端末及び防衛情報通信基盤端末等移設役務,防衛省,13,東京都,2023,2023-10-13T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
c2VhcmNoL3BfcG9ydGFsLzIwMjMvMTAvMjAyMzEwMjRfMTA5OTIK,人事・給与情報システムヘルプデスク業務支援役務,防衛省,13,東京都,2023,2023-10-24T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
c2VhcmNoL3BfcG9ydGFsLzIwMjMvMTEvMjAyMzExMjBfMTMzMjQK,防衛省ＯＡシステム基盤端末及び防衛情報通信基盤端末等移設役務,防衛省,13,東京都,2023,2023-11-20T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
