key,project_name,organization_name,prefecture_name,external_document_uri,review_decision,suggested_it_tag,review_notes
b3Nha2Evb3Nha2FfY2l0eS8yMDI2LzIwMjYwMjI0XzAwOTczCg==,質の高い探究的な学びを推進するカリキュラム構築及び拠点校支援業務委託,大阪府大阪市,大阪府,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000673/673839/01nyuusatusetumeisho.pdf,,,
b3Nha2EvdG95b25ha2FfY2l0eS8yMDI2LzIwMjYwNjExXzAxMzIyCg==,令和8年度水道配水管設計業務委託（No．1）,大阪府豊中市,大阪府,https://www.city.toyonaka.osaka.jp/jigyosya/keiyaku/koukoku/20260611.files/koukoku-suidou1.pdf,,,
b3Nha2EvdG95b25ha2FfY2l0eS8yMDI0LzIwMjQwNTIxXzAwODMwCg==,令和6年度下水道管内詳細調査業務委託（No．1）,大阪府豊中市,大阪府,https://www.city.toyonaka.osaka.jp/jigyosya/keiyaku/koukoku/20240521.files/koukoku-kamera01.pdf,,,
Z292MTAvbnBhX2t5dXNodS8yMDI2LzIwMjYwNjMwXzAwNTg0Cg==,火災警報設備等点検業務委託,国家公安委員会（警察庁）九州管区警察局,福岡県,https://www.kyushu.npa.go.jp/from_2023/bidding/bidding_pdf/nyuusatu/ekimu20260630-0713.pdf,,,
aG9ra2FpZG8va3VzaXJvX2NpdHkvMjAyNi8yMDI2MDUwMV8wMDUxOQo=,配水管整備事業 鉄西中央幹線 測量及び実施設計業務委託【5月19日】,北海道釧路市,北海道,https://www.city.kushiro.lg.jp/_res/projects/default_project/_page_/001/016/358/koukokubun2026000844.pdf,,,
Z292My9tb2RfbmRhX29iYXJhZGFpLzIwMjQvMjAyNDAyMTlfMDQwNzYK,（再）車両管理業務委託,防衛省防衛大学校,神奈川県,https://www.mod.go.jp/nda/procurement/anken/010060219094.pdf,,,
b3Nha2Eva2Fkb21hX2NpdHkvMjAyNS8yMDI1MDYwNl8wMDcxMwo=,郵送期限：6月20日 令和7年度骨粗しょう症検診業務委託,大阪府門真市,大阪府,https://www.city.kadoma.osaka.jp/material/files/group/23/zissi.pdf,,,
b3Nha2Evc3VpdGFfY2l0eS8yMDI0LzIwMjQwNTE2XzAxMTY4Cg==,吹田市南吹田下水処理場雨水流入・流出ゲートほか実施設計委託業務 （PDF 202.6KB）,大阪府吹田市,大阪府,https://www.city.suita.osaka.jp/_res/projects/default_project/_page_/001/033/914/0516kokoku_minamisuitagesuiusuigate_sekkei.pdf,,,
a2FuYWdhd2EvaGFkYW5vX2NpdHkvMjAyNC8yMDI0MDQwM18wMzMwMQo=,令和６年度内久根配水場外１５施設除草委託業務,神奈川県秦野市,神奈川県,https://www.city.hadano.kanagawa.jp/sekkeitosho/2_gaiyou/5063027.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjYvMDIvMjAyNjAyMTJfNjI4NjEK,建築動態統計調査委託業務,国土交通省,東京都,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDI2LzIwMjYwNzAyXzAzNTIxCg==,令和８年度（2026年度）農業人材確保推進事業委託業務の総合評価一般競争入札の実施について,北海道,北海道,https://www.pref.hokkaido.lg.jp/ns/gjf/187576.html,,,
