year,period_start,period_end,lg_code,prefecture_ja,prefecture_en,category_code,category_ja,category_en,search_hits,collected_at
2022,2022-01-01,2022-12-31,01,北海道,Hokkaido,1,物品,goods,448,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,01,北海道,Hokkaido,2,工事,construction,597,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,01,北海道,Hokkaido,3,役務,services,237,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,13,東京都,Tokyo,1,物品,goods,578,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,13,東京都,Tokyo,2,工事,construction,890,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,13,東京都,Tokyo,3,役務,services,887,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,14,神奈川県,Kanagawa,1,物品,goods,312,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,14,神奈川県,Kanagawa,2,工事,construction,331,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,14,神奈川県,Kanagawa,3,役務,services,411,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,23,愛知県,Aichi,1,物品,goods,286,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,23,愛知県,Aichi,2,工事,construction,201,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,23,愛知県,Aichi,3,役務,services,567,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,27,大阪府,Osaka,1,物品,goods,93,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,27,大阪府,Osaka,2,工事,construction,434,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,27,大阪府,Osaka,3,役務,services,248,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,40,福岡県,Fukuoka,1,物品,goods,256,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,40,福岡県,Fukuoka,2,工事,construction,482,2026-07-26T06:59:32.015244+00:00
2022,2022-01-01,2022-12-31,40,福岡県,Fukuoka,3,役務,services,147,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,01,北海道,Hokkaido,1,物品,goods,842,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,01,北海道,Hokkaido,2,工事,construction,2851,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,01,北海道,Hokkaido,3,役務,services,795,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,13,東京都,Tokyo,1,物品,goods,1126,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,13,東京都,Tokyo,2,工事,construction,1441,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,13,東京都,Tokyo,3,役務,services,1319,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,14,神奈川県,Kanagawa,1,物品,goods,478,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,14,神奈川県,Kanagawa,2,工事,construction,525,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,14,神奈川県,Kanagawa,3,役務,services,565,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,23,愛知県,Aichi,1,物品,goods,335,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,23,愛知県,Aichi,2,工事,construction,247,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,23,愛知県,Aichi,3,役務,services,601,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,27,大阪府,Osaka,1,物品,goods,278,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,27,大阪府,Osaka,2,工事,construction,955,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,27,大阪府,Osaka,3,役務,services,317,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,40,福岡県,Fukuoka,1,物品,goods,210,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,40,福岡県,Fukuoka,2,工事,construction,1052,2026-07-26T06:59:32.015244+00:00
2023,2023-01-01,2023-12-31,40,福岡県,Fukuoka,3,役務,services,239,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,01,北海道,Hokkaido,1,物品,goods,898,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,01,北海道,Hokkaido,2,工事,construction,3193,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,01,北海道,Hokkaido,3,役務,services,1249,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,13,東京都,Tokyo,1,物品,goods,1407,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,13,東京都,Tokyo,2,工事,construction,1764,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,13,東京都,Tokyo,3,役務,services,1827,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,14,神奈川県,Kanagawa,1,物品,goods,463,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,14,神奈川県,Kanagawa,2,工事,construction,571,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,14,神奈川県,Kanagawa,3,役務,services,430,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,1,物品,goods,243,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,2,工事,construction,278,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,3,役務,services,291,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,1,物品,goods,367,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,2,工事,construction,1185,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,3,役務,services,353,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,1,物品,goods,219,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,2,工事,construction,1410,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,3,役務,services,308,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,01,北海道,Hokkaido,1,物品,goods,864,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,01,北海道,Hokkaido,2,工事,construction,3446,2026-07-26T06:59:32.015244+00:00
