lg_code,prefecture_ja,prefecture_en,category_code,category_ja,category_en,search_hits,collected_at
01,北海道,Hokkaido,1,物品,goods,3707,2026-07-25T12:14:26.638304+00:00
01,北海道,Hokkaido,2,工事,construction,13141,2026-07-25T12:14:26.638304+00:00
01,北海道,Hokkaido,3,役務,services,4399,2026-07-25T12:14:26.638304+00:00
13,東京都,Tokyo,1,物品,goods,5849,2026-07-25T12:14:26.638304+00:00
13,東京都,Tokyo,2,工事,construction,7519,2026-07-25T12:14:26.638304+00:00
13,東京都,Tokyo,3,役務,services,7116,2026-07-25T12:14:26.638304+00:00
14,神奈川県,Kanagawa,1,物品,goods,2049,2026-07-25T12:14:26.638304+00:00
14,神奈川県,Kanagawa,2,工事,construction,2601,2026-07-25T12:14:26.638304+00:00
14,神奈川県,Kanagawa,3,役務,services,2218,2026-07-25T12:14:26.638304+00:00
23,愛知県,Aichi,1,物品,goods,1454,2026-07-25T12:14:26.638304+00:00
23,愛知県,Aichi,2,工事,construction,1494,2026-07-25T12:14:26.638304+00:00
23,愛知県,Aichi,3,役務,services,2577,2026-07-25T12:14:26.638304+00:00
27,大阪府,Osaka,1,物品,goods,1392,2026-07-25T12:14:26.638304+00:00
27,大阪府,Osaka,2,工事,construction,4986,2026-07-25T12:14:26.638304+00:00
27,大阪府,Osaka,3,役務,services,1872,2026-07-25T12:14:26.638304+00:00
40,福岡県,Fukuoka,1,物品,goods,1330,2026-07-25T12:14:26.638304+00:00
40,福岡県,Fukuoka,2,工事,construction,5507,2026-07-25T12:14:26.638304+00:00
40,福岡県,Fukuoka,3,役務,services,1460,2026-07-25T12:14:26.638304+00:00
