year,period_label,period_start,period_end,is_complete_year,lg_code,prefecture_ja,prefecture_en,category_code,category_ja,category_en,search_hits,collected_at
2026,2026 YTD,2026-01-01,2026-07-26,False,01,北海道,Hokkaido,1,物品,goods,587,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,01,北海道,Hokkaido,2,工事,construction,2650,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,01,北海道,Hokkaido,3,役務,services,909,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,13,東京都,Tokyo,1,物品,goods,871,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,13,東京都,Tokyo,2,工事,construction,951,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,13,東京都,Tokyo,3,役務,services,925,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,14,神奈川県,Kanagawa,1,物品,goods,181,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,14,神奈川県,Kanagawa,2,工事,construction,319,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,14,神奈川県,Kanagawa,3,役務,services,165,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,23,愛知県,Aichi,1,物品,goods,218,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,23,愛知県,Aichi,2,工事,construction,188,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,23,愛知県,Aichi,3,役務,services,626,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,27,大阪府,Osaka,1,物品,goods,233,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,27,大阪府,Osaka,2,工事,construction,757,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,27,大阪府,Osaka,3,役務,services,383,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,40,福岡県,Fukuoka,1,物品,goods,161,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,40,福岡県,Fukuoka,2,工事,construction,515,2026-07-26T07:04:55.418338+00:00
2026,2026 YTD,2026-01-01,2026-07-26,False,40,福岡県,Fukuoka,3,役務,services,287,2026-07-26T07:04:55.418338+00:00
